domain,topic,difficulty,latex,wolfram,english,translated,errors,input_tokens,output_tokens,total_tokens
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int e^{2x}\cos(3x)\,dx$",integrate e^(2x)*cos(3x) dx,"Evaluate using integration by parts: $\int e^{2x}\cos(3x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int e^{2x}\cos(3x)\,dx$",,798,688,1486
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int \ln(x)\,dx$",integrate ln(x) dx,"Evaluate using integration by parts: $\int \ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \ln(x)\,dx$",,792,707,1499
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int_{1}^{e} \ln(x)\,dx$",integrate ln(x) from 1 to e,"Evaluate using integration by parts: $\int_{1}^{e} \ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{1}^{e} \ln(x)\,dx$",,795,731,1526
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int \arctan(x)\,dx$",integrate arctan(x) dx,"Evaluate using integration by parts: $\int \arctan(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \arctan(x)\,dx$",,798,752,1550
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int x\,\sin^2(x)\,dx$",integrate x*sin(x)^2 dx,"Evaluate using integration by parts: $\int x\,\sin^2(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\,\sin^2(x)\,dx$",,811,714,1525
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int \arctan(x)\,dx$",integrate arctan(x) dx,"Evaluate using integration by parts: $\int \arctan(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int \arctan(x)\,dx$",,799,743,1542
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int_{1}^{e} \ln(x)\,dx$",integrate ln(x) from 1 to e,"Evaluate using integration by parts: $\int_{1}^{e} \ln(x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{1}^{e} \ln(x)\,dx$",,789,702,1491
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int (3x-2)e^{2x}\,dx$",integrate (3x-2)*exp(2x) dx,"Evaluate using integration by parts: $\int (3x-2)e^{2x}\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int (3x-2)e^{2x}\,dx$",,793,783,1576
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int x\ln(3x)\,dx$",integrate x*ln(3x) dx,"Evaluate using integration by parts: $\int x\ln(3x)\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int x\ln(3x)\,dx$",,805,742,1547
calculus,Integration by Parts,easy,"Evaluate using integration by parts: $\int_{0}^{\pi} x\sin x\,dx$",integrate x*sin(x) from 0 to pi,"Evaluate using integration by parts: $\int_{0}^{\pi} x\sin x\,dx$","Обчисліть, використовуючи інтегрування частинами: $\int_{0}^{\pi} x\sin x\,dx$",,792,677,1469
